sim,split,outcome,estimator,delta_r2,noise_sd
46,46,incomplete,ridge,0.0224028094778192,5.839864623879145
46,46,incomplete,random_forest,0.0251290140479671,5.839864623879145
46,46,incomplete,hist_gb,0.0018767818412598,5.839864623879145
47,47,complete,ridge,-0.006748115086072,5.839864623879145
47,47,complete,random_forest,0.0433580803484008,5.839864623879145
47,47,complete,hist_gb,0.0413504415318387,5.839864623879145
47,47,incomplete,ridge,0.0117811465074422,5.839864623879145
47,47,incomplete,random_forest,0.0468600129185359,5.839864623879145
47,47,incomplete,hist_gb,0.0245225301848155,5.839864623879145
48,48,complete,ridge,-0.0197689888178911,5.839864623879145
48,48,complete,random_forest,0.0027398994285177,5.839864623879145
48,48,complete,hist_gb,-0.0338961930777006,5.839864623879145
48,48,incomplete,ridge,-0.0164393754846512,5.839864623879145
48,48,incomplete,random_forest,0.023488918744346,5.839864623879145
48,48,incomplete,hist_gb,-0.0112080242386705,5.839864623879145
49,49,complete,ridge,-0.007286044171395,5.839864623879145
49,49,complete,random_forest,0.027702319650655,5.839864623879145
49,49,complete,hist_gb,0.0468009057928566,5.839864623879145
49,49,incomplete,ridge,0.006982438901851,5.839864623879145
49,49,incomplete,random_forest,0.061691629748994,5.839864623879145
49,49,incomplete,hist_gb,0.075230724215631,5.839864623879145
50,50,complete,ridge,-0.0195631640282285,5.839864623879145
50,50,complete,random_forest,-0.0162458977424089,5.839864623879145
50,50,complete,hist_gb,-0.0347027047984986,5.839864623879145
50,50,incomplete,ridge,-0.0055507823814155,5.839864623879145
50,50,incomplete,random_forest,0.0082706701581602,5.839864623879145
50,50,incomplete,hist_gb,0.0046953556494787,5.839864623879145
51,51,complete,ridge,-0.0038837384712777,5.839864623879145
51,51,complete,random_forest,0.0322374259214146,5.839864623879145
51,51,complete,hist_gb,0.0134862777684825,5.839864623879145
51,51,incomplete,ridge,0.0147037165781762,5.839864623879145
51,51,incomplete,random_forest,0.0514923672126899,5.839864623879145
51,51,incomplete,hist_gb,0.0381009929862518,5.839864623879145
52,52,complete,ridge,-0.0074469129802877,5.839864623879145
52,52,complete,random_forest,-0.0405155471643486,5.839864623879145
52,52,complete,hist_gb,-0.0784680865683717,5.839864623879145
52,52,incomplete,ridge,0.0079585305429513,5.839864623879145
52,52,incomplete,random_forest,0.0125935485030406,5.839864623879145
52,52,incomplete,hist_gb,-0.0179081916841992,5.839864623879145
53,53,complete,ridge,-0.0157602995108921,5.839864623879145
53,53,complete,random_forest,0.0013370139918543,5.839864623879145
53,53,complete,hist_gb,-0.0282343356631545,5.839864623879145
53,53,incomplete,ridge,-0.0066470749754921,5.839864623879145
53,53,incomplete,random_forest,0.018094765441281,5.839864623879145
53,53,incomplete,hist_gb,-0.0011286785399244,5.839864623879145
54,54,complete,ridge,-0.0115437888618266,5.839864623879145
54,54,complete,random_forest,0.0101069055697325,5.839864623879145
54,54,complete,hist_gb,-0.0409881803526613,5.839864623879145
54,54,incomplete,ridge,0.0125252246442013,5.839864623879145
54,54,incomplete,random_forest,0.0520977041620887,5.839864623879145
54,54,incomplete,hist_gb,0.0403413083661172,5.839864623879145
